device_id,device_type,browser,operating_system,fingerprint,is_mobile,is_known_device,risk_score,ip
device_000000,tablet,Android 4.0,Unknown,b5c8fa0f-6445-487d-97f4-212e54bdabbe,False,True,0.11,204.154.90.99
device_000001,desktop_windows,Android 12.1,Unknown,e881e6cb-a473-43e0-889e-59db360f7859,False,True,0.03,185.236.3.191
device_000002,tablet,Android 14,Unknown,88329257-a05f-48e1-a632-38ae902cf2e8,False,True,0.01,218.12.197.96
device_000003,mobile_android,Android 2.2.2,Unknown,50765195-d069-4de0-86fa-b4c1d0ddc09c,False,True,0.0,136.105.219.20
device_000004,desktop_mac,Android 8.1.0,Unknown,eb9869f6-f304-4b34-a596-8df7da02bf48,False,False,0.1,151.86.251.28
device_000005,desktop_linux,Android 5.1,Unknown,ea569c0c-fdf8-4135-a78e-759d02015331,False,True,0.04,18.87.78.128
device_000006,desktop_linux,Android 3.2.6,Unknown,47f84947-08f0-4b6c-9a4b-087551699595,False,True,0.24,13.188.105.210
device_000007,desktop_mac,Android 4.2,Unknown,428cf617-cfef-489d-946b-befd86132dcb,False,True,0.19,155.9.142.43
device_000008,desktop_linux,Android 2.3.1,Unknown,784fe62e-1c2a-4a40-84d9-292fd2d1530d,False,True,0.17,189.92.246.22
device_000009,mobile_ios,Android 2.3.3,Unknown,9f32318f-f89d-4de1-90e4-beb168c4729a,False,True,0.01,5.168.48.166
device_000010,desktop_mac,Android 4.4.3,Unknown,3c2367ea-7fdf-4819-a468-9680786d37b3,False,True,0.01,62.71.204.35
device_000011,desktop_windows,Android 2.0,Unknown,c3a6cfc0-ef74-452f-849d-b6cfb3177cf3,False,True,0.09,152.111.144.237
device_000012,desktop_mac,Android 4.2.1,Unknown,feeac2d9-f2d4-4d98-aa59-639147fd3490,False,True,0.04,73.253.65.10
device_000013,mobile_android,Android 1.6,Unknown,b97103cb-947a-4b84-afe5-dc2cd1df8518,False,True,0.05,22.46.84.75
device_000014,tablet,Android 5.0.1,Unknown,646c0328-b8df-4349-bf90-86503e923d36,False,True,0.05,202.113.162.202
device_000015,desktop_linux,Android 4.1,Unknown,4ca1a9ca-0adc-4374-8a65-7297fa6a3c4d,False,True,0.04,80.86.227.107
device_000016,desktop_mac,Android 4.4.2,Unknown,17c53649-229f-4d4b-b324-591d50c03bcc,False,True,0.06,48.220.32.116
device_000017,desktop_windows,Android 5.0,Unknown,25ae8c08-d1b9-4421-9803-0983ff9e5ca6,False,True,0.01,179.59.50.142
device_000018,mobile_ios,Android 2.3.7,Unknown,b11ec7a1-d3ae-46a2-9a85-71b062af4353,False,True,0.01,173.168.103.68
device_000019,mobile_android,Android 3.2.6,Unknown,d5622e6c-2a91-4deb-81fd-c36ac4a0012e,False,True,0.18,66.18.99.193
device_000020,desktop_windows,Android 5.0.2,Unknown,2b23d7f9-2a5a-42e4-83c2-9d430dc4b1d7,False,True,0.07,119.131.254.213
device_000021,desktop_linux,Android 11,Unknown,150f185e-3ac6-41ee-904b-a7ee00e2be50,False,False,0.14,31.100.155.224
device_000022,mobile_android,Android 4.4.2,Unknown,4e9ac09c-1708-4def-ad56-f4c24ee146e7,False,True,0.03,128.206.176.34
device_000023,desktop_mac,Android 3.2.5,Unknown,eb60c2b0-d225-4440-b7bc-5a2b3f7bb05a,False,True,0.07,35.179.13.103
device_000024,tablet,Android 5.1.1,Unknown,540f9163-6e26-4920-afbb-fb0949ff30a2,False,True,0.08,159.190.15.233
device_000025,mobile_android,Android 4.0,Unknown,a9dadbe9-bddc-4102-8e22-eb7bbd5b471f,False,True,0.31,100.25.225.158
device_000026,desktop_linux,Android 6.0.1,Unknown,def8b5c3-7a85-4d13-af89-78fbde89e768,False,True,0.11,51.169.98.102
device_000027,tablet,Android 5.0.2,Unknown,ef90d9fb-730e-4728-8dce-471010aa086f,False,True,0.05,49.95.195.60
device_000028,desktop_mac,Android 2.0,Unknown,410b6069-82dc-4032-8be2-2d61542e6481,False,True,0.02,109.99.161.79
device_000029,desktop_windows,Android 2.3.2,Unknown,e2b3bee9-f692-48b7-9295-9f1a86d020be,False,True,0.02,82.93.183.79
device_000030,tablet,Android 3.2,Unknown,d1a9dbe9-f35f-48e0-9cd3-fe7d3b36b03d,False,True,0.1,96.161.104.115
device_000031,tablet,Android 2.3.3,Unknown,996318b5-cb33-4c7f-9c7e-6fb0ccd9bc98,False,True,0.04,176.98.19.225
device_000032,desktop_linux,Android 2.0,Unknown,cde7c503-1380-4a75-b775-0f762cc6e8f0,False,True,0.07,168.111.93.116
device_000033,desktop_linux,Android 4.4,Unknown,66fa9c20-7568-4ab4-bff8-3ee898846af0,False,True,0.02,152.108.107.77
device_000034,tablet,Android 3.0,Unknown,01c81862-79c1-4c03-9132-f658ca5f313a,False,True,0.12,174.65.57.161
device_000035,desktop_windows,Android 5.0,Unknown,a26f8fd7-4867-4625-8223-3cc0a45f578f,False,True,0.05,118.73.67.29
