transaction_id,timestamp,card_id,user_id,merchant_id,location_id,device_id,amount,currency,status,transaction_type,payment_method,is_online,is_fraudulent,fraud_pattern,fraud_score,mcc,auth_code,response_code,is_declined,decline_reason
tx_f00000000,2025-04-18T03:27:08.886937,card_001722,user_000882,merch_000496,loc_000174,device_000551,53.31,USD,declined,purchase,online,True,True,account_takeover,0.56,1900,,05,True,insufficient_funds
tx_f00000001,2025-03-27T10:37:38.747973,card_000467,user_000233,merch_000181,loc_000028,device_000660,4986.77,USD,approved,purchase,online,True,True,application_fraud,0.88,4893,954370,00,False,
tx_f00000002,2025-04-09T14:31:30.045900,card_000087,user_000040,merch_000200,loc_000105,device_000688,106.28,USD,approved,purchase,online,True,True,card_not_present,0.65,1683,876415,00,False,
tx_f00000003,2025-04-09T09:37:24.518298,card_001595,user_000816,merch_000192,loc_000081,device_000846,799.55,USD,approved,purchase,online,True,True,amount_anomaly,0.86,8769,399606,00,False,
tx_f00000004,2025-04-12T02:08:40.415021,card_000138,user_000067,merch_000410,loc_000164,device_000318,9.33,USD,declined,purchase,online,True,True,card_testing,0.49,6341,,05,True,invalid_card
tx_f00000005,2025-04-18T09:27:22.699193,card_000928,user_000463,merch_000452,loc_000065,device_000254,166.52,USD,declined,purchase,online,True,True,identity_theft,0.69,5867,,05,True,invalid_card
tx_f00000006,2025-04-06T15:37:34.359222,card_001891,user_000967,merch_000178,loc_000161,device_000688,240.54,USD,approved,purchase,online,True,True,card_not_present,0.43,7372,436418,00,False,
tx_f00000007,2025-04-13T14:07:00.120086,card_000319,user_000156,merch_000136,loc_000018,device_000688,10.71,USD,approved,purchase,online,True,True,card_not_present,0.51,1672,475338,00,False,
tx_f00000008,2025-04-05T23:50:16.333092,card_001693,user_000866,merch_000271,loc_000178,device_000570,307.69,USD,approved,purchase,online,True,True,velocity_abuse,0.58,2926,103714,00,False,
tx_f00000009,2025-04-14T03:57:44.470018,card_001357,user_000688,merch_000052,loc_000169,,334.24,USD,declined,purchase,manual_entry,False,True,merchant_fraud,0.74,9893,,05,True,invalid_card
tx_f00000010,2025-03-21T19:27:10.475250,card_001192,user_000601,merch_000135,loc_000083,,13.32,USD,approved,purchase,contactless,False,True,location_anomaly,0.69,6096,595892,00,False,
tx_f00000011,2025-03-19T18:21:43.778588,card_001488,user_000763,merch_000054,loc_000011,device_001490,909.97,USD,approved,purchase,online,True,True,amount_anomaly,0.55,3960,947523,00,False,
tx_f00000012,2025-04-17T15:20:10.358866,card_001495,user_000767,merch_000426,loc_000192,device_001469,20.73,USD,declined,purchase,online,True,True,account_takeover,0.87,8328,,05,True,suspected_fraud
tx_f00000013,2025-03-31T09:43:48.569664,card_001112,user_000560,merch_000414,loc_000048,device_000817,3832.74,USD,approved,purchase,online,True,True,amount_anomaly,0.98,6935,820508,00,False,
tx_f00000014,2025-03-28T16:01:02.489675,card_001171,user_000591,merch_000136,loc_000136,,3365.88,USD,approved,purchase,manual_entry,False,True,application_fraud,0.88,1672,783719,00,False,
tx_f00000015,2025-04-07T11:18:04.930159,card_000035,user_000015,merch_000403,loc_000171,,2444.25,USD,declined,purchase,chip,False,True,application_fraud,0.93,6095,,05,True,insufficient_funds
tx_f00000016,2025-03-22T13:18:43.335308,card_001579,user_000807,merch_000040,loc_000015,device_000537,2.5,USD,declined,purchase,online,True,True,card_testing,0.58,9569,,05,True,invalid_card
tx_f00000017,2025-04-16T08:23:41.346925,card_000991,user_000499,merch_000355,loc_000132,device_000253,40.55,USD,approved,purchase,online,True,True,account_takeover,0.82,1439,555821,00,False,
tx_f00000018,2025-04-06T06:08:08.542474,card_000079,user_000035,merch_000120,loc_000058,device_000535,205.81,USD,approved,purchase,online,True,True,velocity_abuse,0.83,4079,893780,00,False,
tx_f00000019,2025-04-18T12:22:13.825273,card_001031,user_000518,merch_000483,loc_000093,device_000317,8.92,USD,declined,purchase,online,True,True,card_testing,0.7,5655,,05,True,exceeds_limit
tx_f00000020,2025-03-29T10:16:36.559868,card_000470,user_000235,merch_000298,loc_000058,,29.55,USD,approved,purchase,manual_entry,False,True,transaction_laundering,0.54,1180,692282,00,False,
tx_f00000021,2025-04-14T04:57:27.594748,card_001479,user_000758,merch_000059,loc_000034,device_000242,0.85,USD,approved,purchase,online,True,True,card_testing,0.87,5330,381348,00,False,
tx_f00000022,2025-04-04T16:50:28.430095,card_000455,user_000227,merch_000026,loc_000047,,22.15,USD,approved,purchase,chip,False,True,identity_theft,0.62,3437,723413,00,False,
tx_f00000023,2025-04-04T06:24:56.457388,card_001162,user_000587,merch_000211,loc_000126,,53.01,USD,approved,purchase,chip,False,True,merchant_fraud,0.91,8021,146347,00,False,
tx_f00000024,2025-03-27T23:41:02.418820,card_001546,user_000793,merch_000210,loc_000113,device_000307,12.01,USD,declined,purchase,online,True,True,account_takeover,0.73,9627,,05,True,exceeds_limit
tx_f00000025,2025-03-30T21:16:29.177965,card_001486,user_000762,merch_000339,loc_000176,device_000471,9.65,USD,approved,purchase,online,True,True,location_anomaly,0.81,8611,860238,00,False,
