ip,country,city,isp,is_proxy,is_vpn,is_tor,risk_score
204.154.90.99,UK,Port Johnstad,Bailey Ltd,False,False,False,0.04
185.236.3.191,JP,Sarahland,"Marquez, Ruiz and Cook",False,False,False,0.11
218.12.197.96,US,Tylerville,Reynolds-Hall,False,False,False,0.22
136.105.219.20,US,Roberttown,Martinez-Jenkins,False,False,False,0.17
151.86.251.28,AU,Youngberg,Sawyer Inc,False,False,False,0.16
18.87.78.128,US,Bobberg,Edwards PLC,False,False,False,0.03
13.188.105.210,IN,Larsonmouth,Torres Ltd,False,False,False,0.08
155.9.142.43,BR,New Bobbyshire,Rodriguez Inc,False,False,False,0.05
189.92.246.22,US,Port Brendanborough,"Hernandez, Guerra and Warren",False,False,False,0.04
5.168.48.166,IN,West Laurenfurt,"Wilson, Mays and Peters",False,False,False,0.13
62.71.204.35,US,Christopherstad,Galvan-Williams,False,False,False,0.04
152.111.144.237,CA,Victoriaside,"Blake, James and Thompson",False,False,False,0.11
73.253.65.10,BR,Mooretown,"Little, Spencer and Nunez",False,False,False,0.06
22.46.84.75,US,Clarkchester,Smith-Black,False,False,False,0.04
202.113.162.202,US,Port Richardmouth,"Wolf, Silva and Hinton",False,False,False,0.02
80.86.227.107,US,Tiffanyside,Jenkins Inc,False,False,False,0.0
48.220.32.116,MX,South Nicholashaven,"Butler, Watson and Oneill",False,False,False,0.09
179.59.50.142,DE,South Kevinchester,Bell PLC,False,False,False,0.05
173.168.103.68,JP,Johnland,"Williams, Garrett and Gonzales",False,False,True,0.59
66.18.99.193,US,West Allison,Patterson-Chang,False,False,False,0.06
119.131.254.213,UK,Olsonbury,Rhodes Inc,False,False,False,0.01
31.100.155.224,DE,New Kirstenchester,Watson PLC,False,False,False,0.01
128.206.176.34,UK,East Joseton,Finley LLC,False,True,False,0.98
35.179.13.103,AU,Kennethton,"Holder, Cortez and Wade",False,False,False,0.15
159.190.15.233,DE,Welchbury,"Hicks, Taylor and Gray",False,False,False,0.12
100.25.225.158,FR,Johnbury,"Brown, Johnson and Miller",False,False,False,0.03
51.169.98.102,AU,North Travis,"Ramirez, Kim and Carroll",False,False,False,0.14
49.95.195.60,JP,Websterberg,"Harvey, Steele and Howard",False,False,False,0.15
109.99.161.79,MX,South Kimberly,"Powell, Smith and Anderson",False,False,False,0.13
82.93.183.79,JP,West Patrickmouth,Castaneda-Cantrell,False,False,False,0.12
96.161.104.115,UK,Aprilton,Garcia-Black,False,False,False,0.25
176.98.19.225,UK,Chadfurt,Williams-Daniels,False,False,False,0.15
168.111.93.116,DE,South Alison,Wise-Tucker,False,False,False,0.02
152.108.107.77,MX,South Christopher,Wells PLC,False,False,False,0.13
174.65.57.161,UK,Kevintown,Moore LLC,False,False,False,0.56
118.73.67.29,AU,Lake Chad,Young-Jones,False,True,False,0.96
68.183.16.146,AU,New Anthonyberg,Shelton-Welch,False,False,False,0.11
211.227.129.114,JP,Lake Audrey,Reyes Inc,False,False,False,0.01
18.245.225.197,IN,Port Curtisshire,"Martinez, Stewart and Gould",False,False,False,0.04
223.142.247.125,AU,Castroborough,Brown-Williams,False,False,False,0.18
69.247.149.183,MX,Port Chad,Rodriguez PLC,False,False,False,0.03
53.224.38.89,MX,Lake Janeburgh,Fields-Wallace,False,False,False,0.01
60.211.241.78,IN,New Michaeltown,"Garner, Sparks and Roman",False,False,False,0.13
25.120.28.212,CA,Roseland,Gonzalez LLC,False,False,False,0.15
188.120.161.154,AU,Leroyberg,Ellis Ltd,False,False,False,0.16
131.127.109.211,IN,Swansontown,Lewis Group,False,False,False,0.1
123.153.36.253,UK,New Sherribury,"Rodriguez, Perez and Adkins",False,False,False,0.04
89.227.169.225,UK,Chadfurt,Walker Group,False,False,False,0.02
36.46.251.181,BR,West Tracyfurt,Miller Inc,False,False,False,0.02
89.252.169.254,BR,Kennethville,Morris Group,False,False,False,0.06
50.120.193.204,DE,North Juanport,"Ross, Greene and Mcdowell",False,False,False,0.02
184.177.36.142,US,Zacharymouth,Villanueva and Sons,False,False,False,0.01
160.103.216.183,UK,South Laurentown,Wallace and Sons,False,False,False,0.12
51.214.24.77,FR,Port James,Wallace Inc,False,False,False,0.01
204.151.80.176,DE,Rodriguezchester,Haney LLC,False,False,False,0.01
105.124.54.167,BR,Justinland,Cook-Vargas,False,False,False,0.14
126.118.248.42,CA,Lake Ebony,Alvarado-Cross,False,False,False,0.04
42.90.64.180,UK,New Valerie,Parsons-Johnson,False,False,False,0.08
187.134.179.172,UK,North Nancy,Collins Ltd,False,False,False,0.08
57.222.183.24,CA,Jasonfurt,"Rodriguez, Singh and Woods",False,False,False,0.03
119.69.88.89,CA,New Misty,Benson-Moore,False,False,False,0.05
20.223.31.16,BR,Port Julie,"Carson, Singleton and Bennett",True,False,False,0.73
194.249.114.160,FR,Port Timothy,Tran-Beck,False,False,False,0.06
143.115.134.36,FR,Barbaraville,Lowery-Myers,False,False,False,0.1
27.176.119.94,US,Anitaville,Salas-Summers,False,False,False,0.02
135.148.143.58,JP,South Derektown,Terry-Matthews,False,False,False,0.02
206.247.203.237,US,Phillipfurt,Weiss PLC,False,False,True,0.83
82.241.46.209,US,Michaeltown,Greene and Sons,False,False,False,0.04
158.109.139.128,JP,Lake Amberfurt,Mckay-Aguilar,False,False,False,0.02
40.18.186.222,CA,West Andrewburgh,Mercer-Smith,False,False,False,0.22
161.199.2.11,JP,North Lisachester,Perry PLC,False,True,False,0.29
98.16.57.242,US,Tammyhaven,Taylor Inc,False,False,False,0.03
72.244.163.227,UK,New Melissa,"Mata, Collier and Weber",False,False,False,0.09
22.74.228.122,UK,North Bryan,"Baker, Martinez and Rhodes",False,False,False,0.03
200.250.228.111,US,Chasestad,Hardy-Jones,True,False,False,0.61
68.152.186.1,IN,East Andrew,Christensen PLC,False,False,False,0.03
172.248.246.173,UK,Cruzbury,Moore Group,False,False,False,0.1
189.246.173.86,US,South William,Gentry-Lynch,False,False,False,0.02
61.152.163.253,BR,Hillbury,Perez PLC,False,False,False,0.14
183.76.185.221,US,West Donald,"Hernandez, Eaton and Trujillo",False,False,False,0.07
213.152.0.102,US,Barronbury,Aguilar-Jacobs,False,False,False,0.1
170.169.98.196,US,West Jackson,"Perry, Scott and Turner",True,False,False,0.79
183.242.45.48,US,Wangside,Hunter-Wiggins,False,False,False,0.05
78.62.120.64,DE,North Ronald,Jacobs PLC,False,False,False,0.05
63.250.202.208,CA,Millermouth,Park-Wheeler,False,False,False,0.0
188.111.223.162,BR,Port Timothy,Hickman-Williams,False,False,False,0.03
137.185.115.144,BR,Lake Jessicafurt,Mcdonald Inc,False,False,False,0.18
110.89.113.187,AU,Hardyborough,Lee PLC,False,False,False,0.18
64.109.254.96,CA,New Luis,"Harvey, Bradley and Burns",False,False,False,0.12
182.66.18.75,CA,Tiffanyshire,Gallagher-Jones,False,False,False,0.08
123.156.140.13,CA,Evelynland,Mendoza and Sons,False,False,False,0.03
203.61.47.234,US,East Jenniferchester,Ali Group,False,False,False,0.28
211.84.144.206,BR,East Michaelside,Cross-Martin,False,False,False,0.01
64.236.39.107,UK,West Raymondbury,Paul PLC,False,False,False,0.38
138.161.216.187,US,Virginiaside,Dixon and Sons,False,False,False,0.2
160.161.9.44,MX,Vegahaven,"Harris, Jackson and Alexander",False,False,False,0.08
192.26.83.42,BR,Edwardtown,Anderson-Brown,False,False,False,0.04
171.46.1.65,IN,New Theodore,"Jones, Maldonado and Moore",False,False,False,0.01
182.178.235.23,US,Nguyenburgh,"Simon, Murphy and Rivera",False,False,False,0.04
87.66.121.2,CA,North Williamport,"Medina, Scott and Anderson",False,False,False,0.05
214.167.221.56,UK,North Jasontown,Taylor-Allen,False,False,False,0.21
107.177.210.168,US,Lake Rebeccaview,"Thomas, Fuentes and Hill",False,False,False,0.13
45.25.253.195,CA,South Katrinaberg,"Johnson, Obrien and Pitts",False,False,False,0.06
118.192.159.63,CA,Salazarside,Acosta-Torres,False,False,False,0.06
102.1.120.44,DE,Nathanielview,Hahn Group,False,False,False,0.04
24.113.229.31,US,Smithside,Roberts-Navarro,False,False,False,0.09
70.20.54.125,BR,Russellberg,"Dougherty, Greer and Jackson",False,False,False,0.21
146.237.11.216,MX,North Michaelmouth,Pena Group,False,False,False,0.21
76.125.52.220,JP,West Marymouth,Moore-Sanchez,False,False,False,0.01
67.18.86.70,US,Wesleyside,Riggs Ltd,False,False,False,0.08
143.10.110.72,AU,Samanthaton,"Rosales, Torres and Carney",False,False,False,0.16
205.150.123.67,MX,Brandonville,Wilson LLC,False,False,False,0.05
165.28.5.158,CA,Davenportmouth,Padilla-Arnold,False,False,False,0.0
46.37.171.5,JP,South Joshuashire,Montes Inc,False,False,False,0.06
219.122.213.129,US,Lake Katherinefort,Copeland Group,False,False,False,0.01
164.243.180.117,FR,East Chelsea,Richardson Ltd,False,False,False,0.1
203.203.134.53,DE,Caitlynburgh,Nguyen LLC,False,False,False,0.11
30.60.195.70,US,Greeneland,Becker Group,False,False,False,0.25
